EMBEDDING_DIM,WALK_LENGTH,NUM_WALK,P,Q,roc,prec,rec,f1_micro,n_estimators     
64,5,40,1,1,0.5985126494735211,0.5861004770565893,0.2856170737169502,0.38406815420539636,2
64,5,40,1,1,0.672723413091294,0.6371066532324693,0.4607062263236217,0.5347327137714315,15
128,5,40,1,1,0.6731557050034322,0.6348578877712863,0.4633627510506071,0.5357200886429311,15
128,5,40,1,1,0.654502505586796,0.6474530290391101,0.4061382287192048,0.49915564939403634,10
128,5,40,1,1,0.6692600389752059,0.626352598162712,0.4587097931501726,0.5295766516762925,15
128,10,40,1,1,0.6636552621195693,0.6296920185795358,0.4412972625278754,0.5189241946880288,15
64,40,10,1,1,0.6461581301690206,0.6505269952555374,0.38259126114436537,0.48180636165640023,15
64,10,10,1,1,0.6406176383108844,0.6338429578477394,0.3768599279528645,0.472674994565376,15
64,100,10,1,1,0.6260624902324604,0.6409331949036268,0.33441182160784005,0.4395001732553728
