rep_size,walk_len,win_size,n_walk,roc,prec,rec,f1_micro           
64,5,10,100,0.579261683693559,0.5508797096454405,0.24695609328967533,0.34102632287214274
64,5,20,100,0.5800670003197522,0.5518725085142808,0.24890882961645724,0.34307971686835603
64,50,10,100,0.589643976859497,0.5717054138185451,0.2672123921312972,0.3641944819478937
64,50,20,100,0.5918851360583804,0.5760010925851982,0.2715746813520975,0.36911696122786053
64,5,10,100,0.644637079216041,0.6340437665536247,0.3875151791523511,0.4810301723719068
64,5,20,100,0.6448342921116851,0.6337181964216742,0.38822960613874935,0.48147912187706154
64,50,10,100,0.6599135518643167,0.6421050272865036,0.4235090192278641,0.5103828761675989
64,50,20,100,0.6625821010419374,0.6428723341621823,0.43011135958820224,0.5153881267398444
128,5,10,100,0.6335642002205422,0.6248109087369456,0.362821909162485,0.4590670706577189
128,50,10,100,0.6510862276137884,0.6421175368702305,0.40012241275706817,0.4930254284825912
64,80,10,10,0.658290546641983,0.6420426101172596,0.41925056007233846,0.5072569927986506
128,80,10,10,0.6482838713779562,0.6399691705402404,0.39389859085573237,0.48764773956578433
128,10,10,10,0.6378270424689089,0.6245942381827437,0.3745262686710744,0.4682637747609512
128,200,10,10,0.6504523156991109,0.6406355837391504,0.3992835033288781,0.4919501249749396
128,80,5,10,0.641312001246977,0.6356055886948169,0.3777445808242256,0.4738627674079702
128,80,20,10,0.6514300696812674,0.6413094861422858,0.4014942947395788,0.49382243411403104
128,80,10,5,0.6454713014379982,0.637720817912371,0.38767928963435594,0.4822088660352272
128,80,10,50,0.651170093007245,0.6407859319716789,0.4010998292227379,0.493372921072195
