rep_size,walk_len,win_size,n_walk,roc,prec,rec,f1_micro
64,80,10,10,0.5018279475885766,0.50498,0.50498,0.50498
128,80,10,10,0.5021962269453446,0.5044299999999999,0.5044299999999999,0.5044299999999999
128,10,10,10,0.5010390566202834,0.5079199999999999,0.5079199999999999,0.5079199999999999
128,200,10,10,0.49849136381227555,0.50354,0.50354,0.50354
128,80,5,10,0.504009860164657,0.50863,0.50863,0.50863
128,80,20,10,0.5005746202637869,0.5058400000000001,0.5058400000000001,0.5058400000000001
128,80,10,5,0.49980890905957287,0.50459,0.50459,0.50459
128,80,10,50,0.5003481078906887,0.50587,0.50587,0.50587
